	Thermal filter C8 P13678/C8 P13661 1.5M 100nm Cu                                								
100.80641	0.885941176								
101.058426	0.890029412								
101.310442	0.889627451								
101.562458	0.889441176								
101.814474	0.890529412								
102.06649	0.890607843								
102.318506	0.891068627								
102.570522	0.892215686								
102.822538	0.893107843								
103.074554	0.893176471								
103.32657	0.893137255								
103.578586	0.894058824								
103.830602	0.893578431								
104.082618	0.891578431								
104.334634	0.888803922								
104.58665	0.888607843								
104.838666	0.891333333								
105.090682	0.891362745								
105.342698	0.889794118								
105.594714	0.884147059								
105.84673	0.887019608								
106.098746	0.89122549								
106.350762	0.891735294								
106.602778	0.889803922								
106.854794	0.887911765								
107.10681	0.888107843								
107.358826	0.886882353								
107.610842	0.884441176								
107.862858	0.883921569								
108.114874	0.883823529								
108.36689	0.88372549								
108.618906	0.884872549								
108.870922	0.884882353								
109.122938	0.884470588								
109.374954	0.883127451								
109.62697	0.882647059								
109.878986	0.883								
110.131002	0.883352941								
110.383018	0.884254902								
110.635034	0.884666667								
110.88705	0.882490196								
111.139066	0.877294118								
111.391082	0.880392157								
111.643098	0.882539216								
111.895114	0.883313725								
112.14713	0.884539216								
112.399146	0.885470588								
112.651162	0.886617647								
112.903178	0.887470588								
113.155194	0.888029412								
113.40721	0.88754902								
113.659226	0.886843137								
113.911242	0.886960784								
114.163258	0.886911765								
114.415274	0.887558824								
114.66729	0.887627451								
114.919306	0.886862745								
115.171322	0.885627451								
115.423338	0.884117647								
115.675354	0.884715686								
115.92737	0.885431373								
116.179386	0.884872549								
116.431402	0.884303922								
116.683418	0.883852941								
116.935434	0.884352941								
117.18745	0.883372549								
117.439466	0.881578431								
117.691482	0.880735294								
117.943498	0.87945098								
118.195514	0.879519608								
118.44753	0.880686275								
118.699546	0.881107843								
118.951562	0.880029412								
119.203578	0.879872549								
119.455594	0.879941176								
119.70761	0.877980392								
119.959626	0.872823529								
120.211642	0.872745098								
120.463658	0.875745098								
120.715674	0.877205882								
120.96769	0.878823529								
121.219706	0.879656863								
121.471722	0.878323529								
121.723738	0.872343137								
121.975754	0.865176471								
122.22777	0.875960784								
122.479786	0.879647059								
122.731802	0.878784314								
122.983818	0.878529412								
123.235834	0.878882353								
123.48785	0.879490196								
123.739866	0.880617647								
123.991882	0.880647059								
124.243898	0.880137255								
124.495914	0.880607843								
124.74793	0.87922549								
124.999946	0.877529412								
125.251962	0.875823529								
125.503978	0.874176471								
125.755994	0.874735294								
126.00801	0.874529412								
126.260026	0.872205882								
126.512042	0.868401961								
126.764058	0.856431373								
127.016074	0.842303922								
127.26809	0.856666667								
127.520106	0.863892157								
127.772122	0.866215686								
128.024138	0.866127451								
128.276154	0.865519608								
128.52817	0.864460784								
128.780186	0.863784314								
129.032202	0.863901961								
129.284218	0.864107843								
129.536234	0.864313725								
129.78825	0.86377451								
130.040266	0.862862745								
130.292282	0.862382353								
130.544298	0.862196078								
130.796314	0.862156863								
131.04833	0.863019608								
131.300346	0.864186275								
131.552362	0.863735294								
131.804378	0.860303922								
132.056394	0.859637255								
132.30841	0.858686275								
132.560426	0.848254902								
132.812442	0.847843137								
133.064458	0.85245098								
133.316474	0.851852941								
133.56849	0.852205882								
133.820506	0.854735294								
134.072522	0.856078431								
