# xout	st_am	st_am2	st_am3	st_am4	st_am5	st_am6	st_am7	st_am8	st_am9	st_atm	st_atm2
      5.9121594      0.5599460      0.0385225     -0.2294499     -0.2787551     -0.2451511     -0.1843479     -0.1242104     -0.2484210      0.3866012     -0.1391875      1.5452079
      5.9954162      0.5702637      0.0427798     -0.2226000     -0.2713875     -0.2388015     -0.1794748     -0.1207253     -0.2420040      0.3944624     -0.1343292      1.5492240
      6.0786734      0.5805817      0.0470372     -0.2157502     -0.2640199     -0.2324519     -0.1746017     -0.1172402     -0.2355870      0.4023236     -0.1294709      1.5532403
      6.1619301      0.5908994      0.0512945     -0.2089004     -0.2566523     -0.2261024     -0.1697287     -0.1137552     -0.2291700      0.4101847     -0.1246127      1.5572565
      6.2451873      0.6012173      0.0555519     -0.2020506     -0.2492847     -0.2197528     -0.1648556     -0.1102701     -0.2227530      0.4180459     -0.1197544      1.5612726
      6.3284440      0.6115351      0.0598092     -0.1952007     -0.2419172     -0.2134032     -0.1599825     -0.1067851     -0.2163360      0.4259071     -0.1148961      1.5652889
      6.4117012      0.6218529      0.0640665     -0.1883509     -0.2345496     -0.2070536     -0.1551094     -0.1033000     -0.2099189      0.4337683     -0.1100378      1.5693051
      6.4949579      0.6321708      0.0683239     -0.1815011     -0.2271820     -0.2007040     -0.1502364     -0.0998150     -0.2035019      0.4416294     -0.1051795      1.5733213
      6.5782146      0.6424886      0.0725812     -0.1746513     -0.2198145     -0.1943545     -0.1453633     -0.0963299     -0.1970849      0.4494905     -0.1003213      1.5773375
      6.6614718      0.6528064      0.0768386     -0.1678014     -0.2124469     -0.1880049     -0.1404903     -0.0928448     -0.1906679      0.4573517     -0.0954630      1.5813537
      6.7447286      0.6631242      0.0810959     -0.1609516     -0.2050793     -0.1816553     -0.1356172     -0.0893598     -0.1842509      0.4652129     -0.0906047      1.5853699
      6.8279858      0.6734421      0.0853533     -0.1541018     -0.1977117     -0.1753057     -0.1307441     -0.0858747     -0.1778338      0.4730741     -0.0857464      1.5893861
      6.9112425      0.6837599      0.0896106     -0.1472520     -0.1903442     -0.1689561     -0.1258711     -0.0823897     -0.1714168      0.4809352     -0.0808881      1.5934024
      6.9944997      0.6940777      0.0938680     -0.1404022     -0.1829766     -0.1626065     -0.1209980     -0.0789046     -0.1649998      0.4887964     -0.0760298      1.5974185
      7.0777569      0.7043956      0.0981253     -0.1335523     -0.1756090     -0.1562569     -0.1161249     -0.0754195     -0.1585827      0.4966576     -0.0711715      1.6014348
      7.1610131      0.7147133      0.1023826     -0.1267025     -0.1682415     -0.1499074     -0.1112519     -0.0719345     -0.1521658      0.5045187     -0.0663133      1.6054510
      7.2442703      0.7250312      0.1066400     -0.1198527     -0.1608739     -0.1435578     -0.1063788     -0.0684495     -0.1457487      0.5123799     -0.0614550      1.6094673
      7.3275270      0.7353490      0.1108973     -0.1130029     -0.1535063     -0.1372082     -0.1015058     -0.0649644     -0.1393317      0.5202411     -0.0565967      1.6134834
      7.4107842      0.7456669      0.1151547     -0.1061531     -0.1461387     -0.1308586     -0.0966327     -0.0614793     -0.1329147      0.5281023     -0.0517384      1.6174996
      7.4940410      0.7559847      0.1194120     -0.0993032     -0.1387712     -0.1245091     -0.0917596     -0.0579943     -0.1264977      0.5359634     -0.0468802      1.6215159
      7.5772982      0.7663025      0.1236694     -0.0924534     -0.1314036     -0.1181595     -0.0868865     -0.0545092     -0.1200806      0.5438246     -0.0420219      1.6255320
      7.6605554      0.7766204      0.1279267     -0.0856036     -0.1240360     -0.1118099     -0.0820135     -0.0510241     -0.1136636      0.5516858     -0.0371636      1.6295483
      7.7438121      0.7869382      0.1321841     -0.0787538     -0.1166684     -0.1054603     -0.0771404     -0.0475391     -0.1072466      0.5595469     -0.0323053      1.6335645
      7.8270693      0.7972561      0.1364414     -0.0719039     -0.1093008     -0.0991107     -0.0722673     -0.0440540     -0.1008295      0.5674081     -0.0274470      1.6375808
      7.9103255      0.8075738      0.1406987     -0.0650541     -0.1019333     -0.0927612     -0.0673943     -0.0405690     -0.0944126      0.5752693     -0.0225887      1.6415969
      7.9935827      0.8178917      0.1449561     -0.0582043     -0.0945657     -0.0864116     -0.0625212     -0.0370839     -0.0879956      0.5831305     -0.0177304      1.6456131
      8.0768394      0.8282095      0.1492134     -0.0513545     -0.0871982     -0.0800620     -0.0576482     -0.0335989     -0.0815785      0.5909916     -0.0128722      1.6496294
      8.1600971      0.8385274      0.1534708     -0.0445046     -0.0798305     -0.0737124     -0.0527751     -0.0301138     -0.0751615      0.5988529     -0.0080139      1.6536455
      8.2433538      0.8488452      0.1577281     -0.0376548     -0.0724630     -0.0673628     -0.0479020     -0.0266287     -0.0687445      0.6067140     -0.0031556      1.6576618
      8.3266106      0.8591630      0.1619855     -0.0308050     -0.0650954     -0.0610133     -0.0430289     -0.0231437     -0.0623275      0.6145751      0.0017027      1.6616780
      8.4098682      0.8694809      0.1662428     -0.0239551     -0.0577278     -0.0546636     -0.0381558     -0.0196586     -0.0559104      0.6224364      0.0065610      1.6656942
      8.4931240      0.8797986      0.1705001     -0.0171054     -0.0503603     -0.0483141     -0.0332828     -0.0161736     -0.0494935      0.6302974      0.0114192      1.6697104
      8.5763817      0.8901165      0.1747575     -0.0102555     -0.0429927     -0.0419645     -0.0284097     -0.0126885     -0.0430764      0.6381587      0.0162776      1.6737266
      8.6596375      0.9004342      0.1790148     -0.0034058     -0.0356252     -0.0356150     -0.0235367     -0.0092035     -0.0366594      0.6460198      0.0211358      1.6777427
      8.7428951      0.9107521      0.1832722      0.0034441     -0.0282575     -0.0292654     -0.0186636     -0.0057184     -0.0302424      0.6538810      0.0259941      1.6817590
      8.8261528      0.9210700      0.1875296      0.0102940     -0.0208899     -0.0229157     -0.0137905     -0.0022333     -0.0238253      0.6617422      0.0308524      1.6857753
      8.9094095      0.9313878      0.1917869      0.0171438     -0.0135224     -0.0165662     -0.0089175      0.0012517     -0.0174083      0.6696033      0.0357107      1.6897914
      8.9926662      0.9417056      0.1960442      0.0239936     -0.0061548     -0.0102166     -0.0040444      0.0047368     -0.0109913      0.6774645      0.0405690      1.6938076
      9.0759230      0.9520234      0.2003016      0.0308434      0.0012128     -0.0038670      0.0008286      0.0082218     -0.0045743      0.6853257      0.0454272      1.6978239
      9.1591797      0.9623412      0.2045589      0.0376932      0.0085803      0.0024825      0.0057017      0.0117069      0.0018427      0.6931868      0.0502855      1.7018400
      9.2424364      0.9726591      0.2088162      0.0445430      0.0159479      0.0088321      0.0105747      0.0151919      0.0082597      0.7010480      0.0551438      1.7058562
      9.3256931      0.9829768      0.2130736      0.0513928      0.0233154      0.0151817      0.0154478      0.0186770      0.0146767      0.7089092      0.0600020      1.7098725
      9.4089508      0.9932948      0.2173309      0.0582427      0.0306831      0.0215313      0.0203209      0.0221620      0.0210938      0.7167704      0.0648604      1.7138886
