icm	trans
9.492701	0.9817806
9.543464	0.9822149
9.594227	0.9858307
9.64499	0.9861236
9.695753	0.9861236
9.746516	0.98778
9.797279	0.9825987
9.848042	0.9796596
9.898805	0.9769427
9.949568	0.9757408
10.000331	0.9774679
10.051094	0.9821341
10.101857	0.984245
10.15262	0.9845884
10.203383	0.9842854
10.254146	0.9832653
10.304909	0.983841
10.355672	0.9805888
10.406435	0.9797606
10.457198	0.9790132
10.507961	0.978488
10.558724	0.9778618
10.609487	0.9780739
10.66025	0.98071
10.711013	0.9816998
10.761776	0.9835986
10.812539	0.9817604
10.863302	0.9775386
10.914065	0.9754883
10.964828	0.9772356
11.015591	0.9802555
11.015614	0.98922
11.066377	0.98749
11.11714	0.98671
11.167903	0.98614
11.218666	0.9793
11.269429	0.98039
11.320192	0.9858
11.370955	0.98819
11.421718	0.98893
11.472481	0.97949
11.523244	0.97638
11.574007	0.98654
11.62477	0.98617
11.675533	0.97888
11.726296	0.98067
11.777059	0.98329
11.827822	0.98398
11.878585	0.98744
11.929348	0.98441
11.980111	0.9761
12.030874	0.97818
12.081637	0.98311
12.1324	0.98277
12.183163	0.98696
12.233926	0.98566
12.284689	0.97713
12.335452	0.97344
12.386215	0.9789
12.436978	0.97947
12.487741	0.97471
12.538504	0.97946
12.589267	0.97511
12.64003	0.97334
12.690793	0.98263
12.741556	0.98334
12.792319	0.97715
12.843082	0.97331
12.893845	0.9733
12.944608	0.97719
12.995371	0.98085
13.046134	0.97807
13.096897	0.97442
13.14766	0.97051
13.198423	0.97365
13.249186	0.98041
13.299949	0.97818
13.350712	0.97195
13.401475	0.96833
13.452238	0.96776
13.503001	0.97485
13.553764	0.98543
13.604527	0.9793
13.65529	0.96769
13.706053	0.96582
13.756816	0.96955
13.807579	0.97351
13.858342	0.97695
13.909105	0.97974
13.959868	0.97358
14.010631	0.9673
14.061394	0.97149
14.112157	0.97656
14.16292	0.97364
14.213683	0.96873
14.264446	0.97002
14.315209	0.97689
14.365972	0.9801
14.416735	0.97741
14.467498	0.96986
14.518261	0.96327
14.569024	0.9667
14.619787	0.97541
14.67055	0.97927
14.721313	0.97975
14.772076	0.97706
14.822839	0.96789
14.873602	0.97072
14.924365	0.97794
14.975128	0.97219
15.025891	0.97161
15.076654	0.97391
15.127417	0.97214
15.17818	0.97369
15.228943	0.97402
15.279706	0.97048
15.330469	0.96676
15.381232	0.96885
15.431995	0.97193
15.482758	0.97399
