icm	trans
28.27503	0.00134
28.32580	0.00138
28.37656	0.00155
28.42732	0.00127
28.47809	0.00117
28.52885	0.00135
28.57961	0.00133
28.63038	0.00119
28.68114	0.00105
28.73190	0.00108
28.78266	0.00121
28.83343	0.00130
28.88419	0.00151
28.93495	0.00162
28.98572	0.00160
29.03648	0.00156
29.08724	0.00165
29.13801	0.00179
29.18877	0.00170
29.23953	0.00166
29.29029	0.00163
29.34106	0.00170
29.39182	0.00199
29.44258	0.00191
29.49335	0.00164
29.54411	0.00159
29.59487	0.00176
29.64564	0.00203
29.69640	0.00192
29.74716	0.00194
29.79792	0.00183
29.84869	0.00174
29.89945	0.00198
29.95021	0.00212
30.00098	0.00217
30.05174	0.00212
30.10250	0.00212
30.15327	0.00223
30.20403	0.00245
30.25479	0.00243
30.30555	0.00208
30.35632	0.00212
30.40708	0.00243
30.45784	0.00232
30.50861	0.00233
30.55937	0.00263
30.61013	0.00273
30.66090	0.00274
30.71166	0.00265
30.76242	0.00251
30.81318	0.00234
30.86395	0.00263
30.91471	0.00274
30.96547	0.00273
31.01624	0.00306
31.06700	0.00337
31.11776	0.00352
31.16853	0.00336
31.21929	0.00366
31.27005	0.00403
31.32081	0.00421
31.37158	0.00450
31.42234	0.00478
31.47310	0.00465
31.52387	0.00464
31.57463	0.00504
31.62539	0.00526
31.67616	0.00563
31.72692	0.00547
31.77768	0.00509
31.82844	0.00478
31.87921	0.00440
31.92997	0.00449
31.98073	0.00471
32.03150	0.00442
32.08226	0.00394
32.13302	0.00345
32.18379	0.00320
32.23455	0.00316
32.28531	0.00268
32.33607	0.00224
32.38684	0.00191
32.43760	0.00177
32.48836	0.00165
32.53913	0.00123
32.58989	0.00098
32.64065	0.00076
32.69142	0.00058
32.74218	0.00077
32.79294	0.00086
32.84370	0.00062
32.89447	0.00043
32.94523	0.00032
32.99599	0.00071
33.04676	0.00087
33.09752	0.00031
33.14828	0.00035
33.19905	0.00067
33.24981	0.00063
33.30057	0.00024
33.35133	0.00010
33.40210	0.00052
33.45286	0.00064
33.50362	0.00039
33.55439	0.00000
33.60515	0.00000
33.65591	0.00010
33.70668	0.00005
33.75744	0.00013
33.80820	0.00009
33.85896	0.00008
33.90973	0.00041
33.96049	0.00064
34.01125	0.00055
34.06202	0.00067
34.11278	0.00055
34.16354	0.00024
34.21431	0.00039
34.26507	0.00092
34.31583	0.00129
34.36659	0.00097
34.41736	0.00101
34.46812	0.00103
34.51888	0.00060
34.56965	0.00043
34.62041	0.00004
34.67117	0.00002
34.72194	0.00042
34.77270	0.00042
34.82346	0.00049
34.87422	0.00058
34.92499	0.00069
34.97575	0.00047
35.02651	0.00004
35.07728	0.00022
35.12804	0.00051
35.17880	0.00042
35.22957	0.00026
35.28033	0.00011
35.33109	0.00000
35.38185	0.00000
35.43262	0.00041
35.48338	0.00055
35.53414	0.00009
35.58491	0.00008
35.63567	0.00038
35.68643	0.00059
35.73720	0.00078
35.78796	0.00079
35.83872	0.00078
35.88948	0.00044
35.94025	0.00014
35.99101	0.00015
36.04177	0.00003
36.09254	0.00032
36.14330	0.00044
36.19406	0.00000
36.24483	0.00013
36.29559	0.00037
36.34635	0.00036
36.39711	0.00056
36.44788	0.00020
36.49864	0.00000
36.54940	0.00016
36.60017	0.00036
36.65093	0.00023
36.70169	0.00002
36.75246	0.00042
36.80322	0.00081
36.85398	0.00062
36.90474	0.00055
36.95551	0.00068
37.00627	0.00055
37.05703	0.00010
37.10780	0.00010
37.15856	0.00036
37.20932	0.00051
37.26009	0.00010
37.31085	0.00021
37.36161	0.00113
37.41237	0.00152
37.46314	0.00088
37.51390	0.00019
37.56466	0.00084
37.61543	0.00109
37.66619	0.00061
37.71695	0.00086
37.76772	0.00134
